Id,Label,timeset,modularity_class,13_nodes_lable,node_size,All_class,Bone_class,Liver_class
0,0,,0,,3,0,0,4
1,1,,0,,2,0,0,4
2,2,,4,,1,1,0,0
3,3,,0,,1,1,1,0
4,4,,0,,1,1,0,0
5,5,,0,,1,1,1,0
6,6,,1,,1,1,2,0
7,7,,4,,1,1,3,0
8,8,,0,,1,1,-1,0
9,9,,0,,1,0,0,4
10,10,,3,,1,1,4,0
11,11,,0,,1,1,4,0
12,12,,0,,1,0,0,4
13,13,,0,,1,0,0,4
14,14,,0,,1,1,5,0
15,15,,3,,1,1,4,0
16,16,,0,,1,0,0,4
17,17,,0,,1,1,1,0
18,18,,2,0,4,0,0,6
19,19,,0,,1,1,1,0
21,21,,0,,2,0,0,4
23,23,,4,,1,2,6,4
24,24,,0,,1,1,1,0
25,25,,8,,1,5,-1,6
26,26,,0,,3,0,0,0
27,27,,0,,1,0,0,2
29,29,,4,,2,3,7,4
30,30,,0,,1,0,0,2
31,31,,0,,2,0,0,4
32,32,,0,,1,1,1,0
33,33,,4,,1,4,9,4
35,35,,1,1,4,3,7,6
36,36,,0,,2,0,0,4
38,38,,4,,2,1,4,0
39,39,,0,,1,0,0,2
40,40,,0,,1,1,3,0
41,41,,2,,1,2,5,6
42,42,,0,,1,1,1,0
43,43,,4,,1,2,6,6
44,44,,0,,1,1,1,0
45,45,,0,2,4,1,0,0
46,46,,5,,1,3,2,6
47,47,,0,,1,1,1,0
48,48,,2,,1,4,9,4
49,49,,0,,1,0,0,4
50,50,,6,,1,1,-1,0
51,51,,8,,1,5,8,6
52,52,,0,,1,1,1,0
54,54,,4,,3,0,0,4
55,55,,0,,1,1,1,0
57,57,,0,,1,1,1,0
59,59,,0,,1,1,1,0
60,60,,4,,1,0,7,0
61,61,,0,,1,1,1,0
62,62,,0,,1,1,1,0
63,63,,8,,2,5,8,6
64,64,,0,,2,3,7,5
65,65,,3,,1,1,1,0
66,66,,5,,1,3,2,6
67,67,,0,,1,1,1,0
68,68,,4,,1,0,0,4
69,69,,4,,1,2,0,6
70,70,,0,,1,1,5,0
71,71,,0,,1,1,1,0
72,72,,0,,1,1,0,0
73,73,,4,,1,0,0,4
74,74,,0,,1,1,16,0
75,75,,4,,2,3,7,4
76,76,,4,,1,5,0,6
77,77,,4,,3,3,7,6
78,78,,0,,1,1,1,0
79,79,,0,,1,0,0,6
80,80,,0,,1,1,1,0
81,81,,0,,1,1,1,0
82,82,,0,,1,1,1,0
83,83,,4,,1,0,0,4
84,84,,0,,1,1,7,0
86,86,,4,,1,1,7,0
87,87,,4,,1,0,0,4
88,88,,4,,2,0,0,4
89,89,,0,,1,0,0,4
90,90,,0,,2,0,0,4
91,91,,2,,1,0,0,6
92,92,,7,,1,1,-1,0
93,93,,4,,1,0,0,4
94,94,,0,,1,0,0,6
95,95,,4,,1,4,9,2
96,96,,4,,1,0,0,4
97,97,,4,,1,0,0,4
98,98,,4,,1,0,0,4
99,99,,0,,2,0,0,4
100,100,,0,,1,0,0,4
102,102,,0,,1,1,1,0
103,103,,0,,1,1,6,0
104,104,,4,,1,0,0,4
105,105,,4,4,4,4,9,4
107,107,,4,,2,0,0,4
108,108,,4,,2,1,0,0
109,109,,0,,1,1,0,0
110,110,,0,,1,0,0,4
111,111,,5,,1,3,2,6
112,112,,0,,1,1,1,0
113,113,,0,,1,0,0,3
114,114,,4,,2,4,9,4
115,115,,0,,1,1,-1,0
116,116,,4,,2,1,-1,0
117,117,,4,,1,0,0,4
118,118,,8,,1,5,13,6
119,119,,0,,1,1,1,0
120,120,,4,,1,0,0,6
121,121,,3,,1,1,1,0
122,122,,4,,1,0,0,4
123,123,,4,5,4,3,7,6
124,124,,4,,1,0,0,4
125,125,,0,,1,0,0,4
127,127,,8,,1,5,12,6
130,130,,9,,2,5,11,6
131,131,,4,,2,0,0,4
132,132,,1,,1,0,0,0
133,133,,0,,1,1,1,0
134,134,,4,,3,0,0,4
135,135,,0,6,4,1,7,0
136,136,,0,,3,0,0,4
137,137,,8,,1,5,-1,6
139,139,,4,,1,4,7,4
140,140,,2,,1,1,5,0
141,141,,0,,1,0,0,6
142,142,,0,,1,0,0,4
143,143,,4,,1,1,16,0
144,144,,8,,1,5,12,6
145,145,,4,,1,0,0,4
146,146,,4,,2,0,0,4
147,147,,4,,1,2,6,-1
148,148,,3,,1,1,-1,0
149,149,,4,,2,3,7,4
150,150,,8,,1,5,-1,6
151,151,,4,,1,1,1,0
153,153,,4,,1,0,0,4
154,154,,2,7,4,2,6,6
155,155,,0,,2,1,0,0
156,156,,0,,1,1,5,0
157,157,,4,,2,0,0,4
158,158,,4,,1,0,0,4
159,159,,4,,1,1,1,0
160,160,,0,,1,1,1,0
161,161,,0,,2,0,7,4
163,163,,0,,2,1,0,0
164,164,,0,,1,1,1,0
167,167,,4,,2,0,0,4
168,168,,0,,1,1,5,0
169,169,,0,,2,1,4,0
171,171,,0,,1,1,1,0
172,172,,2,,1,1,-1,0
173,173,,0,,1,1,5,0
174,174,,8,,2,5,-1,6
175,175,,0,,1,1,5,0
176,176,,0,,1,0,0,6
177,177,,8,,1,5,-1,6
178,178,,0,,2,0,0,4
179,179,,4,,1,0,0,4
180,180,,4,,1,0,0,6
181,181,,9,,1,5,14,6
182,182,,8,,1,5,13,6
183,183,,0,,1,1,1,0
184,184,,0,,1,1,1,0
185,185,,4,,1,0,0,4
187,187,,0,,1,0,0,6
188,188,,0,,1,1,1,0
189,189,,0,,1,1,1,0
191,191,,4,,1,1,0,0
192,192,,0,,1,1,1,0
193,193,,0,,1,1,1,0
194,194,,0,,1,0,0,4
195,195,,0,8,4,3,7,6
196,196,,0,,1,1,1,0
197,197,,0,,2,0,0,4
198,198,,4,,1,5,15,6
199,199,,0,,1,1,-1,0
200,200,,0,,2,0,0,4
201,201,,4,,1,3,7,6
202,202,,0,,1,1,1,4
203,203,,5,,1,1,2,0
204,204,,4,,2,0,0,4
205,205,,4,,1,4,7,6
206,206,,0,,2,0,0,4
207,207,,0,,1,1,1,0
208,208,,0,,2,3,7,6
209,209,,8,,1,5,12,6
211,211,,0,,1,3,7,4
212,212,,4,,1,4,1,4
213,213,,4,,2,1,7,0
214,214,,2,,1,1,1,0
215,215,,0,,2,0,0,4
216,216,,0,,1,1,1,0
217,217,,4,,1,0,0,4
218,218,,4,,1,0,0,6
220,220,,0,,1,1,1,0
221,221,,0,,1,0,0,4
222,222,,0,,1,2,7,6
223,223,,0,,1,0,0,4
226,226,,4,,1,3,7,4
227,227,,4,,1,0,0,4
228,228,,4,,1,0,0,0
229,229,,0,,1,1,6,0
230,230,,0,,1,3,7,6
232,232,,8,,1,5,-1,6
233,233,,0,,1,0,0,4
234,234,,0,,2,0,0,0
235,235,,0,,1,1,1,0
236,236,,5,,1,1,2,0
238,238,,0,,1,1,1,0
239,239,,0,,1,1,1,0
240,240,,0,,1,1,1,2
241,241,,8,,1,5,13,6
242,242,,2,,1,1,-1,0
243,243,,8,,1,5,12,6
244,244,,0,,1,1,1,0
245,245,,11,,1,5,16,6
246,246,,0,,1,1,5,0
247,247,,0,,1,1,-1,0
248,248,,4,,2,0,0,4
249,249,,2,,1,1,0,0
250,250,,2,,1,0,0,4
251,251,,0,,1,0,5,6
252,252,,1,,1,1,1,0
253,253,,4,,2,4,-1,4
254,254,,4,,1,0,0,4
255,255,,2,,1,2,0,6
256,256,,0,,1,1,1,0
258,258,,4,,1,1,7,0
259,259,,4,,1,0,0,4
260,260,,4,,1,0,0,4
261,261,,0,,1,2,5,6
262,262,,4,9,4,3,6,6
263,263,,0,,1,1,5,0
264,264,,0,,1,1,1,0
265,265,,0,,1,1,1,0
266,266,,2,,1,4,5,2
267,267,,2,,2,1,7,0
268,268,,2,10,4,2,7,6
269,269,,4,,1,3,7,-1
270,270,,8,,1,5,-1,-1
272,272,,4,,1,0,0,4
273,273,,0,,1,0,0,2
274,274,,0,,2,1,1,0
275,275,,2,,1,0,0,4
279,279,,8,,1,5,13,6
280,280,,0,,1,1,1,0
281,281,,8,,1,5,15,6
282,282,,0,,1,1,1,0
283,283,,8,,1,5,-1,6
284,284,,1,,1,2,6,6
285,285,,4,,3,0,0,4
286,286,,0,,1,3,7,6
287,287,,4,,1,4,7,6
288,288,,8,,1,5,12,6
289,289,,4,,1,0,0,4
290,290,,1,,1,2,-1,0
293,293,,0,,1,1,1,2
294,294,,0,11,4,0,0,0
295,295,,0,,1,1,1,0
297,297,,0,,1,1,0,0
298,298,,4,,3,4,7,4
299,299,,4,,1,4,9,4
300,300,,8,,2,5,13,6
301,301,,4,,1,5,14,6
302,302,,0,,2,0,0,0
303,303,,0,,1,0,0,4
304,304,,8,,1,5,-1,6
305,305,,0,,1,2,1,0
306,306,,11,,1,5,16,6
307,307,,2,,2,2,0,6
308,308,,4,,2,3,7,6
309,309,,0,,1,1,1,0
310,310,,0,,1,2,6,4
311,311,,0,,2,0,0,5
312,312,,2,,1,1,0,0
313,313,,4,,1,0,0,4
315,315,,4,,1,4,9,4
316,316,,8,,1,5,13,6
317,317,,8,,1,5,13,6
320,320,,0,,2,3,7,3
321,321,,4,,1,1,1,0
322,322,,4,,2,0,0,0
323,323,,0,,1,1,1,0
324,324,,8,,1,5,12,6
325,325,,0,,3,2,1,0
326,326,,0,,1,1,1,6
328,328,,0,,2,1,5,0
329,329,,2,,1,4,9,4
331,331,,0,,1,2,1,4
332,332,,2,,1,3,7,-1
333,333,,5,,1,3,2,6
334,334,,2,,1,2,6,6
335,335,,1,,3,2,7,6
336,336,,0,,2,0,0,4
337,337,,2,,3,4,10,6
338,338,,4,,1,1,0,0
339,339,,1,,1,3,7,4
340,340,,2,,2,3,7,6
341,341,,4,,1,0,0,4
342,342,,4,,1,0,0,4
344,344,,0,,1,1,1,0
345,345,,4,,1,3,7,4
346,346,,11,,1,5,-1,6
347,347,,2,,1,1,7,0
348,348,,0,,1,1,1,0
349,349,,0,,1,3,7,6
351,351,,4,,2,0,0,4
352,352,,0,,1,2,1,4
353,353,,4,,1,0,0,4
354,354,,0,,1,2,0,0
355,355,,2,,1,0,0,-1
358,358,,11,,1,5,1,6
361,361,,11,,2,5,17,6
362,362,,0,,1,1,1,0
364,364,,4,,1,3,7,4
365,365,,4,,1,2,6,6
366,366,,10,,1,1,1,0
367,367,,0,,2,3,7,6
368,368,,0,,1,1,1,0
369,369,,4,,2,3,7,6
370,370,,2,,3,2,5,6
371,371,,4,,1,0,0,4
373,373,,0,,1,1,1,0
375,375,,4,,1,3,7,-1
376,376,,0,,2,2,5,0
377,377,,2,,3,4,9,4
378,378,,4,,2,2,6,6
379,379,,0,,2,0,0,6
380,380,,0,,3,0,0,6
382,382,,2,,1,1,9,0
383,383,,4,,1,2,7,6
384,384,,2,,2,4,9,6
385,385,,0,,2,3,7,6
386,386,,2,,1,4,1,6
387,387,,0,,1,1,-1,0
388,388,,4,,1,4,9,4
389,389,,4,,1,0,0,4
390,390,,4,,2,0,0,4
392,392,,4,,2,0,0,4
393,393,,0,,2,0,0,6
394,394,,1,,1,1,-1,6
395,395,,2,,1,2,0,6
396,396,,0,,1,1,1,0
397,397,,4,,1,4,-1,6
398,398,,4,,1,4,-1,6
399,399,,2,,2,2,1,0
400,400,,0,,1,2,1,6
403,403,,0,,1,0,0,4
404,404,,0,,1,1,5,0
405,405,,0,,1,2,5,0
406,406,,4,,3,2,6,6
407,407,,0,,2,2,4,6
408,408,,0,,1,1,1,0
409,409,,2,,1,2,-1,1
410,410,,0,,1,2,6,5
411,411,,0,,1,1,1,0
412,412,,0,,1,2,-1,6
413,413,,4,,1,0,0,4
414,414,,0,,1,2,6,6
415,415,,10,,1,0,0,4
416,416,,0,,2,2,5,2
417,417,,4,,2,0,0,4
418,418,,4,,1,0,0,4
419,419,,0,,1,2,1,6
420,420,,11,,1,5,-1,6
422,422,,4,,1,4,5,6
423,423,,4,,2,3,7,6
424,424,,7,,2,3,7,6
425,425,,0,,1,1,5,0
426,426,,0,,1,2,1,6
427,427,,4,,1,3,7,6
428,428,,0,,1,2,1,4
429,429,,0,,1,2,5,6
430,430,,2,,1,2,6,6
431,431,,0,,1,2,7,6
432,432,,5,,2,0,0,1
433,433,,0,,1,1,-1,0
434,434,,0,,1,1,18,0
435,435,,4,,1,3,7,4
436,436,,5,,1,3,2,6
437,437,,2,,1,4,9,4
438,438,,0,,2,1,0,0
439,439,,0,,2,1,0,0
440,440,,0,,1,2,1,0
441,441,,0,,1,1,1,0
442,442,,4,,1,3,7,4
443,443,,2,,1,1,1,4
444,444,,0,,1,0,0,4
446,446,,0,,1,2,-1,6
447,447,,4,,1,0,0,6
448,448,,0,,1,2,0,6
449,449,,0,,2,2,7,6
450,450,,0,,1,2,1,6
452,452,,4,,1,0,0,4
453,453,,0,12,4,0,0,6
454,454,,0,,1,2,1,0
455,455,,11,,1,5,17,6
456,456,,0,,1,1,14,0
457,457,,0,,1,2,0,0
458,458,,0,,1,2,1,6
459,459,,4,,1,3,7,4
461,461,,0,,2,0,0,2
462,462,,0,,1,2,7,6
463,463,,2,,1,1,7,6
464,464,,6,,3,3,7,6
465,465,,0,,2,2,5,2
466,466,,0,,1,2,7,6
467,467,,0,,2,0,5,6
468,468,,0,,1,2,1,0
469,469,,0,,2,0,0,4
470,470,,0,,1,2,7,6
471,471,,2,,1,4,9,6
472,472,,11,,1,5,-1,6
473,473,,0,,2,2,1,0
474,474,,11,,1,5,16,6
475,475,,0,,1,2,6,6
476,476,,0,,1,2,0,4
477,477,,2,,1,2,6,6
478,478,,0,,1,2,18,6
479,479,,11,,1,5,16,6
481,481,,0,,1,2,1,4
482,482,,0,,1,0,0,4
484,484,,0,,3,3,7,-1
485,485,,0,,2,2,4,6
486,486,,0,,1,0,0,6
487,487,,0,,1,0,0,6
488,488,,0,,1,1,1,0
489,489,,2,,2,3,0,6
490,490,,0,,1,2,4,4
491,491,,0,,2,3,7,6
